test_id,gene_id,symbol,locus,sample_1,sample_2,status,value_1,value_2,log2FoldChange,test_stat,pvalue,padj,sig_cufflinks
XLOC_002153,XLOC_002153,"G0S2,HSD11B1",chr1:209787953-209908295,Control,Dengue,OK,143.458,580.14,2.01577,1.83755,0.0005,0.0637518,no
XLOC_002155,XLOC_002155,TRAF3IP3,chr1:209927311-209957907,Control,Dengue,OK,56.043,63.4839,0.179857,0.159638,0.71115,0.999963,no
XLOC_002156,XLOC_002156,DIEXF,chr1:210001226-210031564,Control,Dengue,OK,2.69522,2.46475,-0.128962,-0.142606,0.69735,0.999963,no
XLOC_002160,XLOC_002160,HHAT,chr1:210501595-211307457,Control,Dengue,OK,0.870041,0.948429,0.124456,0.0891764,0.7794,0.999963,no
XLOC_002162,XLOC_002162,RP11-543B16.2,chr1:211380580-211381239,Control,Dengue,OK,2.30503,3.66553,0.669236,0.632034,0.17185,0.999963,no
XLOC_002163,XLOC_002163,RCOR3,chr1:211431718-211491112,Control,Dengue,OK,17.1179,14.5023,-0.239225,-0.143528,0.62355,0.999963,no
XLOC_002164,XLOC_002164,TRAF5,chr1:211499739-211549407,Control,Dengue,OK,7.5038,6.15493,-0.28588,-0.248139,0.4727,0.999963,no
XLOC_002165,XLOC_002165,LINC00467,chr1:211556144-211608675,Control,Dengue,OK,1.29799,1.15677,-0.166172,-0.0979701,0.79125,0.999963,no
XLOC_002175,XLOC_002175,DTL,chr1:212112943-212280742,Control,Dengue,OK,5.2856,4.57878,-0.207105,-0.0908981,0.8093,0.999963,no
XLOC_002178,XLOC_002178,PPP2R5A,chr1:212456606-212535306,Control,Dengue,OK,23.3689,25.8191,0.143852,0.202372,0.60315,0.999963,no
XLOC_002179,XLOC_002179,RP11-384C4.6,chr1:212456606-212535306,Control,Dengue,OK,0.642411,0.565715,-0.183421,-0.0212748,0.912,0.999963,no
XLOC_002181,XLOC_002181,RP11-384C4.2,chr1:212456606-212535306,Control,Dengue,OK,1.02736,0.894356,-0.200022,-0.0174097,0.91845,0.999963,no
XLOC_002182,XLOC_002182,NENF,chr1:212606228-212619721,Control,Dengue,OK,11.4949,10.9711,-0.0672814,-0.0874615,0.8471,0.999963,no
XLOC_002184,XLOC_002184,RP11-61J19.4,chr1:212731174-212733073,Control,Dengue,OK,1.25002,1.86777,0.579374,0.501354,0.22505,0.999963,no
XLOC_002185,XLOC_002185,ATF3,chr1:212738675-212800282,Control,Dengue,OK,19.7857,39.5727,1.00005,0.616296,0.0811,0.872699,no
XLOC_002188,XLOC_002188,BATF3,chr1:212855320-212873994,Control,Dengue,OK,0.329767,0.553743,0.74777,0.313718,0.46675,0.999963,no
XLOC_002190,XLOC_002190,TATDN3,chr1:212899252-212990604,Control,Dengue,OK,9.69832,11.7367,0.275218,0.159104,0.6377,0.999963,no
XLOC_002193,XLOC_002193,FLVCR1,chr1:213031596-213072825,Control,Dengue,OK,8.68295,8.69453,0.00192349,0.00163794,0.99655,0.999963,no
XLOC_002196,XLOC_002196,RPS6KC1,chr1:213224560-213457583,Control,Dengue,OK,16.989,17.417,0.0358976,0.0339586,0.92105,0.999963,no
XLOC_002200,XLOC_002200,SMYD2,chr1:214453193-214512134,Control,Dengue,OK,10.7964,10.5603,-0.0318993,-0.0390535,0.9215,0.999963,no
XLOC_002202,XLOC_002202,CENPF,chr1:214776537-214838158,Control,Dengue,OK,4.92984,2.51769,-0.969443,-0.507223,0.12535,0.999963,no
XLOC_002207,XLOC_002207,KCTD3,chr1:215740526-215795149,Control,Dengue,OK,1.78077,1.3873,-0.360219,-0.267025,0.39725,0.999963,no
XLOC_002216,XLOC_002216,RRP15,chr1:218458556-218514424,Control,Dengue,OK,4.01031,3.57899,-0.164161,-0.0902497,0.803,0.999963,no
XLOC_002217,XLOC_002217,TGFB2,chr1:218519576-218617961,Control,Dengue,OK,0.711194,0.238734,-1.57484,-0.694681,0.0291,0.586067,no
XLOC_002219,XLOC_002219,LYPLAL1,chr1:219150147-219429041,Control,Dengue,OK,31.6148,21.5735,-0.551344,-0.392614,0.1848,0.999963,no
XLOC_002221,XLOC_002221,-,chr1:219467373-219500585,Control,Dengue,OK,0.412457,0.305116,-0.434889,-0.258191,0.5277,0.999963,no
XLOC_002226,XLOC_002226,IARS2,chr1:220267430-220445803,Control,Dengue,OK,13.438,9.82705,-0.451484,-0.266826,0.41555,0.999963,no
XLOC_002228,XLOC_002228,RP11-568G11.4,chr1:220267430-220445803,Control,Dengue,OK,2.79392,1.60218,-0.802259,-0.0821527,0.8407,0.999963,no
XLOC_002229,XLOC_002229,RP11-568G11.5,chr1:220267430-220445803,Control,Dengue,OK,0.591808,0.285449,-1.0519,-0.0320322,0.36695,0.999963,no
XLOC_002230,XLOC_002230,MORF4L1P1,chr1:220267430-220445803,Control,Dengue,OK,70.2935,71.931,0.0332235,0.0323142,0.9392,0.999963,no
XLOC_002237,XLOC_002237,"MARC1,MARC2",chr1:220921566-220992999,Control,Dengue,OK,11.3441,11.4402,0.0121702,0.0106965,0.9757,0.999963,no
XLOC_002240,XLOC_002240,HLX,chr1:221006104-221060363,Control,Dengue,OK,6.19734,12.1407,0.970126,0.800097,0.02805,0.5761,no
XLOC_002241,XLOC_002241,-,chr1:221232579-221251978,Control,Dengue,OK,0.410292,0.144732,-1.50327,-0.642856,0.0451,0.693409,no
XLOC_002247,XLOC_002247,MIA3,chr1:222791408-222909763,Control,Dengue,OK,17.9251,21.0613,0.232615,0.15376,0.6601,0.999963,no
XLOC_002248,XLOC_002248,BROX,chr1:222791408-222909763,Control,Dengue,OK,31.8893,26.8018,-0.250744,-0.125144,0.68305,0.999963,no
XLOC_002249,XLOC_002249,FAM177B,chr1:222910548-222926491,Control,Dengue,OK,0.616416,0.54149,-0.186972,-0.0807323,0.78785,0.999963,no
XLOC_002250,XLOC_002250,DISP1,chr1:222988363-223179498,Control,Dengue,OK,3.88704,3.44416,-0.17452,-0.0856396,0.71205,0.999963,no
XLOC_002252,XLOC_002252,TLR5,chr1:223278820-223317064,Control,Dengue,OK,1.44746,0.941065,-0.621156,-0.390372,0.3018,0.999963,no
XLOC_002258,XLOC_002258,CAPN2,chr1:223889294-224035094,Control,Dengue,OK,47.3751,66.5269,0.489809,0.424523,0.24505,0.999963,no
XLOC_002260,XLOC_002260,"RP11-504P24.3,RP11-504P24.9",chr1:224116507-224222758,Control,Dengue,OK,1.41115,1.1641,-0.277658,-0.131066,0.5274,0.999963,no
XLOC_002261,XLOC_002261,FBXO28,chr1:224301788-224349941,Control,Dengue,OK,13.1377,15.8356,0.269461,0.228424,0.49065,0.999963,no
XLOC_002262,XLOC_002262,DEGS1,chr1:224363457-224381665,Control,Dengue,OK,12.2026,13.3033,0.1246,0.126997,0.68835,0.999963,no
XLOC_002268,XLOC_002268,CNIH4,chr1:224544530-224567797,Control,Dengue,OK,20.7379,29.0564,0.486583,0.540254,0.1561,0.999963,no
XLOC_002269,XLOC_002269,CNIH3,chr1:224572844-224928251,Control,Dengue,OK,2.88709,3.19007,0.143971,0.054065,0.80305,0.999963,no
XLOC_002273,XLOC_002273,DNAH14,chr1:225083963-225587900,Control,Dengue,OK,2.6332,2.11232,-0.317988,-0.155006,0.5966,0.999963,no
XLOC_002274,XLOC_002274,AC092811.1,chr1:225589074-225616777,Control,Dengue,OK,1.4922,1.58219,0.0844824,0.0195053,0.9675,0.999963,no
XLOC_002275,XLOC_002275,LBR,chr1:225589074-225616777,Control,Dengue,OK,0.475594,0.836659,0.81491,0.0589397,0.82425,0.999963,no
XLOC_002279,XLOC_002279,SRP9,chr1:225964893-225978950,Control,Dengue,OK,53.0617,42.1557,-0.331943,-0.302704,0.26815,0.999963,no
XLOC_002281,XLOC_002281,EPHX1,chr1:225997793-226070084,Control,Dengue,OK,1.10025,1.5272,0.473055,0.12769,0.6674,0.999963,no
XLOC_002283,XLOC_002283,H3F3A,chr1:226234089-226265413,Control,Dengue,OK,20.3844,18.9237,-0.107274,-0.0614046,0.8408,0.999963,no
XLOC_002286,XLOC_002286,RP11-275I14.4,chr1:226332379-226374431,Control,Dengue,OK,0.590946,0.540514,-0.128694,-0.0126016,0.93645,0.999963,no
XLOC_002293,XLOC_002293,ITPKB-AS1,chr1:226819174-226927152,Control,Dengue,OK,0.847778,1.13841,0.0662815,0.251287,0.86155,0.999963,no
XLOC_002295,XLOC_002295,"ADCK3,PSEN2",chr1:227057884-227175264,Control,Dengue,OK,8.03497,10.1678,0.339649,0.342214,0.3253,0.999963,no
XLOC_002305,XLOC_002305,ZNF678,chr1:227751226-227867621,Control,Dengue,OK,3.93921,3.15308,-0.321144,-0.226445,0.5375,0.999963,no
XLOC_002307,XLOC_002307,SNAP47,chr1:227916239-227969672,Control,Dengue,OK,4.92871,5.84928,0.247049,0.247027,0.5839,0.999963,no
XLOC_002311,XLOC_002311,ARF1,chr1:228261609-228293112,Control,Dengue,OK,132.334,159.83,0.272351,0.34052,0.41465,0.999963,no
XLOC_002313,XLOC_002313,"GJC2,GUK1",chr1:228326895-228347527,Control,Dengue,OK,95.1007,138.539,0.542762,0.697109,0.0899,0.902644,no
XLOC_002314,XLOC_002314,IBA57,chr1:228353473-228389931,Control,Dengue,OK,1.16552,1.77032,0.603036,0.352523,0.28385,0.999963,no
XLOC_002315,XLOC_002315,OBSCN,chr1:228390304-228566577,Control,Dengue,OK,1.02203,1.09823,0.103753,0.0569882,0.8537,0.999963,no
XLOC_002316,XLOC_002316,RP11-245P10.8,chr1:228579688-228594552,Control,Dengue,OK,0.450319,1.06219,1.23802,0.344419,0.4294,0.999963,no
XLOC_002318,XLOC_002318,HIST3H2BB,chr1:228643313-228649420,Control,Dengue,OK,6.18813,4.0167,-0.623493,-0.386622,0.2344,0.999963,no
XLOC_002320,XLOC_002320,RNF187,chr1:228673888-228687285,Control,Dengue,OK,6.21621,9.78544,0.654602,0.723223,0.04,0.663162,no
XLOC_002324,XLOC_002324,FTH1P2,chr1:228823161-228823670,Control,Dengue,OK,78.1187,101.034,0.371106,0.497673,0.22695,0.999963,no
XLOC_002325,XLOC_002325,RHOU,chr1:228870823-228882609,Control,Dengue,OK,8.11486,6.47683,-0.325277,-0.34858,0.2924,0.999963,no
XLOC_002330,XLOC_002330,"RAB4A,SPHAR",chr1:229394027-229479041,Control,Dengue,OK,17.9032,14.7282,-0.281633,-0.219555,0.5983,0.999963,no
XLOC_002336,XLOC_002336,URB2,chr1:229728847-229797448,Control,Dengue,OK,1.60722,1.89686,0.239046,0.117195,0.68055,0.999963,no
XLOC_002338,XLOC_002338,GALNT2,chr1:230193736-230417910,Control,Dengue,OK,8.00765,8.75111,0.128087,0.121866,0.7467,0.999963,no
XLOC_002340,XLOC_002340,COG2,chr1:230778234-230829728,Control,Dengue,OK,8.80867,7.97214,-0.143957,-0.169715,0.6501,0.999963,no
XLOC_002346,XLOC_002346,ARV1,chr1:231114726-231136341,Control,Dengue,OK,3.67779,3.46366,-0.0865419,-0.073829,0.8283,0.999963,no
XLOC_002349,XLOC_002349,RP11-423F24.3,chr1:231152718-231175992,Control,Dengue,OK,2.78902,4.72266,0.759844,0.435536,0.2817,0.999963,no
XLOC_002351,XLOC_002351,GNPAT,chr1:231376952-231413719,Control,Dengue,OK,14.4053,12.5749,-0.196058,-0.190375,0.55795,0.999963,no
XLOC_002352,XLOC_002352,SPRTN,chr1:231464381-231492138,Control,Dengue,OK,4.86203,6.88976,0.502896,0.256729,0.4165,0.999963,no
XLOC_002353,XLOC_002353,"DISC1,TSNAX,TSNAX-DISC1",chr1:231657203-232185085,Control,Dengue,OK,29.598,29.5379,-0.00292827,-0.00211923,0.9952,0.999963,no
XLOC_002355,XLOC_002355,DISC1-IT1,chr1:231657203-232185085,Control,Dengue,OK,1.11419,0.856075,-0.38018,-0.0753225,0.885,0.999963,no
XLOC_002360,XLOC_002360,MAP10,chr1:232940637-232945646,Control,Dengue,OK,0.75394,0.571158,-0.40056,-0.310454,0.367,0.999963,no
XLOC_002362,XLOC_002362,NTPCR,chr1:233086323-233431478,Control,Dengue,OK,7.41102,8.05449,0.12012,0.0607801,0.8722,0.999963,no
XLOC_002363,XLOC_002363,RP5-862P8.2,chr1:233463481-233520959,Control,Dengue,OK,0.604934,0.704164,0.219134,0.177829,0.6156,0.999963,no
XLOC_002372,XLOC_002372,COA6,chr1:234506909-234519795,Control,Dengue,OK,11.0762,12.6669,0.193602,0.18835,0.6248,0.999963,no
XLOC_002375,XLOC_002375,RP4-781K5.2,chr1:234732958-234745659,Control,Dengue,OK,16.0491,26.5753,0.727593,0.24913,0.4794,0.999963,no
XLOC_002384,XLOC_002384,RPL23AP23,chr1:235294497-235508015,Control,Dengue,OK,1.80769,4.2398,1.22985,0.168713,0.7853,0.999963,no
XLOC_002385,XLOC_002385,GGPS1,chr1:235294497-235508015,Control,Dengue,OK,11.5829,11.9984,0.0508451,0.0160758,0.9597,0.999963,no
XLOC_002386,XLOC_002386,RP11-382D8.3,chr1:235294497-235508015,Control,Dengue,OK,0.529631,0.518631,-0.030279,-0.000919553,0.405,0.999963,no
XLOC_002388,XLOC_002388,TBCE,chr1:235530424-235667781,Control,Dengue,OK,4.31689,4.34826,0.0104451,0.00776238,0.983,0.999963,no
XLOC_002393,XLOC_002393,LDHAP2,chr1:235824241-236046940,Control,Dengue,OK,6.12897,4.11971,-0.573102,-0.0686965,0.88415,0.999963,no
XLOC_002394,XLOC_002394,LYST-AS1,chr1:235824241-236046940,Control,Dengue,OK,4.03176,3.83593,-0.0718332,-0.00349817,0.88855,0.999963,no
XLOC_002396,XLOC_002396,Y_RNA,chr1:236138924-236228462,Control,Dengue,OK,0.521013,0.35854,-0.539184,-0.0735638,0.71555,0.999963,no
XLOC_002398,XLOC_002398,GPR137B,chr1:236305804-236445430,Control,Dengue,OK,4.74931,5.9149,0.316636,0.0978347,0.70845,0.999963,no
XLOC_002401,XLOC_002401,EDARADD,chr1:236511561-236648606,Control,Dengue,OK,19.4,22.2189,0.195732,0.28242,0.50935,0.999963,no
XLOC_002402,XLOC_002402,LGALS8,chr1:236681299-236767918,Control,Dengue,OK,41.7646,46.331,0.149696,0.0941392,0.78635,0.999963,no
XLOC_002404,XLOC_002404,MTR,chr1:236958580-237067500,Control,Dengue,OK,10.7977,9.64698,-0.162568,-0.164944,0.65255,0.999963,no
XLOC_002405,XLOC_002405,RPSAP21,chr1:236958580-237067500,Control,Dengue,OK,0.624807,0.473779,-0.399195,-0.0514046,0.9109,0.999963,no
XLOC_002415,XLOC_002415,CHRM3,chr1:239549864-240080255,Control,Dengue,OK,1.56735,1.05055,-0.577186,-0.0469191,0.79815,0.999963,no
XLOC_002429,XLOC_002429,KMO,chr1:241694907-241965435,Control,Dengue,OK,10.9959,11.8734,0.110766,0.0521951,0.8628,0.999963,no
XLOC_002432,XLOC_002432,EXO1,chr1:242011179-242058450,Control,Dengue,OK,2.0531,1.49218,-0.460376,-0.23176,0.42045,0.999963,no
XLOC_002447,XLOC_002447,RP11-261C10.5,chr1:243287546-244014381,Control,Dengue,OK,1.20879,0.68286,-0.823906,-0.0348103,0.72075,0.999963,no
XLOC_002448,XLOC_002448,RP11-261C10.4,chr1:243287546-244014381,Control,Dengue,OK,0.494482,0.440574,-0.166534,-0.00391014,0.5516,0.999963,no
XLOC_002449,XLOC_002449,"AC092782.1,SDCCAG8",chr1:243287546-244014381,Control,Dengue,OK,12.9483,11.2085,-0.208162,-0.0479392,0.86285,0.999963,no
XLOC_002450,XLOC_002450,MIR4677,chr1:243287546-244014381,Control,Dengue,OK,0.261428,0.199118,-0.392791,-0.01388,0.8472,0.999963,no
XLOC_002451,XLOC_002451,RP11-269F20.1,chr1:243287546-244014381,Control,Dengue,OK,1.13562,0.58731,-0.951286,-0.359279,0.24085,0.999963,no
XLOC_002453,XLOC_002453,ZBTB18,chr1:244211962-244221812,Control,Dengue,OK,9.97439,12.1467,0.284265,0.315771,0.33235,0.999963,no
XLOC_002458,XLOC_002458,C1orf101,chr1:244515936-244804479,Control,Dengue,OK,4.79442,2.85059,-0.750098,-0.343522,0.2171,0.999963,no
XLOC_002459,XLOC_002459,DESI2,chr1:244816236-244873537,Control,Dengue,OK,8.60537,8.10949,-0.0856266,-0.0884093,0.76985,0.999963,no
XLOC_002461,XLOC_002461,COX20,chr1:244976920-245029534,Control,Dengue,OK,9.55504,8.41484,-0.183325,-0.0328553,0.87545,0.999963,no
XLOC_002462,XLOC_002462,RP11-11N7.4,chr1:244976920-245029534,Control,Dengue,OK,0.191312,0.383417,1.00299,0.0137517,0.27895,0.999963,no
XLOC_002465,XLOC_002465,EFCAB2,chr1:245132043-245290466,Control,Dengue,OK,5.33446,4.87831,-0.128959,-0.0857768,0.8058,0.999963,no
XLOC_002471,XLOC_002471,RP11-36N20.1,chr1:245912441-246670614,Control,Dengue,OK,0.404196,0.254888,-0.665194,-0.0603052,0.87845,0.999963,no
XLOC_002472,XLOC_002472,CHCHD4P5,chr1:245912441-246670614,Control,Dengue,OK,0.490592,0.474412,-0.0483829,-0.0018958,0.47655,0.999963,no
XLOC_002474,XLOC_002474,CNST,chr1:246729657-246840469,Control,Dengue,OK,26.7424,25.457,-0.071071,-0.0715827,0.8514,0.999963,no
XLOC_002478,XLOC_002478,SCCPDH,chr1:246887348-246932644,Control,Dengue,OK,6.51605,7.66528,0.234341,0.261286,0.47125,0.999963,no
XLOC_002482,XLOC_002482,AHCTF1,chr1:247001968-247095408,Control,Dengue,OK,0.939908,0.849685,-0.14559,-0.0672718,0.85055,0.999963,no
XLOC_002487,XLOC_002487,RP11-488L18.4,chr1:247347114-247405125,Control,Dengue,OK,0.789392,0.491655,-0.683096,-0.242431,0.54875,0.999963,no
XLOC_002488,XLOC_002488,RP11-488L18.4,chr1:247347114-247405125,Control,Dengue,OK,1.7574,1.52834,-0.201478,-0.111474,0.7807,0.999963,no
XLOC_002489,XLOC_002489,RP11-488L18.8,chr1:247347114-247405125,Control,Dengue,OK,4.78754,4.75309,-0.0104173,-0.00552261,0.98955,0.999963,no
XLOC_002493,XLOC_002493,NLRP3,chr1:247578300-247617683,Control,Dengue,OK,54.4354,84.3773,0.632309,0.42068,0.23595,0.999963,no
XLOC_002495,XLOC_002495,GCSAML,chr1:247670359-247910364,Control,Dengue,OK,1.89962,1.93472,0.0264132,0.0158251,0.9517,0.999963,no
XLOC_002504,XLOC_002504,"OR2W3,TRIM58",chr1:248020405-248061066,Control,Dengue,OK,9.03645,18.605,1.04186,0.937687,0.0165,0.44107,no
XLOC_002505,XLOC_002505,OR2T8,chr1:248083652-248086513,Control,Dengue,OK,0.0851514,0.255781,1.58681,0.464544,0.16485,0.999963,no
XLOC_002541,XLOC_002541,ZNF672,chr1:249130888-249153343,Control,Dengue,OK,6.94069,10.3491,0.576357,0.427822,0.1859,0.999963,no
XLOC_002543,XLOC_002543,PGBD2,chr1:249200266-249231258,Control,Dengue,OK,2.32474,1.98691,-0.226541,-0.196802,0.58925,0.999963,no
XLOC_002546,XLOC_002546,"RP11-34P13.7,RP11-34P13.8",chr1:89294-134836,Control,Dengue,OK,0.348817,0.894528,1.35866,0.595052,0.23295,0.999963,no
XLOC_002547,XLOC_002547,AL627309.1,chr1:134900-139379,Control,Dengue,OK,0.945069,2.52449,1.4175,0.657338,0.0133,0.394995,no
XLOC_002549,XLOC_002549,RP11-34P13.13,chr1:141473-173862,Control,Dengue,OK,0.466971,0.665933,0.512045,0.311281,0.357,0.999963,no
XLOC_002556,XLOC_002556,AL669831.1,chr1:521368-794826,Control,Dengue,OK,32.6672,24.683,-0.404323,-0.110889,0.7115,0.999963,no
XLOC_002562,XLOC_002562,NOC2L,chr1:860259-894689,Control,Dengue,OK,5.97268,7.8768,0.39923,0.534799,0.21965,0.999963,no
XLOC_002564,XLOC_002564,HES4,chr1:922751-949921,Control,Dengue,OK,4.25038,31.1662,2.87432,0.605796,0.12335,0.996868,no
XLOC_002569,XLOC_002569,C1orf159,chr1:1016917-1051741,Control,Dengue,OK,1.40816,1.92547,0.451403,0.29687,0.29255,0.999963,no
XLOC_002571,XLOC_002571,TNFRSF18,chr1:1138852-1142718,Control,Dengue,OK,2.20512,3.65727,0.729911,0.489968,0.13615,0.999963,no
XLOC_002572,XLOC_002572,"SDF4,TNFRSF4",chr1:1146395-1167428,Control,Dengue,OK,24.5594,35.6508,0.53766,0.702175,0.07955,0.869214,no
XLOC_002575,XLOC_002575,UBE2J2,chr1:1189028-1209265,Control,Dengue,OK,10.2296,13.3321,0.38216,0.345064,0.3142,0.999963,no
XLOC_002576,XLOC_002576,"ACAP3,CPSF3L",chr1:1227725-1260071,Control,Dengue,OK,19.5487,25.2945,0.371756,0.320835,0.35055,0.999963,no
XLOC_002577,XLOC_002577,DVL1,chr1:1260135-1284730,Control,Dengue,OK,3.84478,5.15767,0.423818,0.339223,0.3732,0.999963,no
XLOC_002578,XLOC_002578,MXRA8,chr1:1286820-1297157,Control,Dengue,OK,0.436771,0.502306,0.201692,0.0928505,0.702,0.999963,no
XLOC_002579,XLOC_002579,AURKAIP1,chr1:1309089-1312197,Control,Dengue,OK,20.1899,28.2267,0.483429,0.593026,0.1387,0.999963,no
XLOC_002580,XLOC_002580,"CCNL2,MRPL20",chr1:1321071-1346263,Control,Dengue,OK,48.375,54.5027,0.172065,0.162558,0.65715,0.999963,no
XLOC_002584,XLOC_002584,SSU72,chr1:1477052-1510249,Control,Dengue,OK,25.7313,35.8183,0.47717,0.640281,0.10365,0.93533,no
XLOC_002586,XLOC_002586,C1orf233,chr1:1533391-1535476,Control,Dengue,OK,0.436856,0.586958,0.426098,0.326675,0.4129,0.999963,no
XLOC_002587,XLOC_002587,RP11-345P4.9,chr1:1548862-1566601,Control,Dengue,OK,0.85227,0.715155,-0.253055,-0.0821465,0.7934,0.999963,no
XLOC_002588,XLOC_002588,"CDK11A,CDK11B,SLC35E2,SLC35E2B",chr1:1567473-1678633,Control,Dengue,OK,18.814,25.8574,0.458767,0.358013,0.3454,0.999963,no
XLOC_002589,XLOC_002589,NADK,chr1:1680749-1715663,Control,Dengue,OK,36.5364,82.7389,1.17923,0.844984,0.0255,0.548876,no
XLOC_002590,XLOC_002590,GNB1,chr1:1716625-1822556,Control,Dengue,OK,46.0476,51.5255,0.162159,0.168266,0.6276,0.999963,no
XLOC_002596,XLOC_002596,"AL590822.1,FAAP20",chr1:1981890-2152177,Control,Dengue,OK,3.43579,4.48364,0.384028,0.203806,0.5415,0.999963,no
XLOC_002597,XLOC_002597,SKI,chr1:2159982-2241558,Control,Dengue,OK,0.816519,1.42809,0.806523,0.816254,0.032,0.606861,no
XLOC_002598,XLOC_002598,MORN1,chr1:2252691-2323146,Control,Dengue,OK,0.461453,0.727842,0.65744,0.334711,0.2204,0.999963,no
XLOC_002602,XLOC_002602,PEX10,chr1:2323213-2345236,Control,Dengue,OK,1.43619,2.16514,0.592216,0.175387,0.59435,0.999963,no
XLOC_002605,XLOC_002605,PANK4,chr1:2346958-2458067,Control,Dengue,OK,7.05174,8.68713,0.300899,0.208099,0.58485,0.999963,no
XLOC_002607,XLOC_002607,RP3-395M20.8,chr1:2477678-2517679,Control,Dengue,OK,1.4007,2.04917,0.54889,0.14683,0.65185,0.999963,no
XLOC_002608,XLOC_002608,MMEL1,chr1:2517759-2706320,Control,Dengue,OK,0.237947,0.625611,1.39462,0.24122,0.2015,0.999963,no
XLOC_002615,XLOC_002615,MEGF6,chr1:3403809-3528059,Control,Dengue,OK,1.10415,1.29981,0.235368,0.130597,0.6894,0.999963,no
XLOC_002618,XLOC_002618,WRAP73,chr1:3547291-3663927,Control,Dengue,OK,5.28299,6.06661,0.199537,0.148819,0.68535,0.999963,no
XLOC_002621,XLOC_002621,TP73-AS1,chr1:3547291-3663927,Control,Dengue,OK,1.47479,1.92293,0.382793,0.208884,0.54275,0.999963,no
XLOC_002622,XLOC_002622,LRRC47,chr1:3694316-3713230,Control,Dengue,OK,5.94402,7.3669,0.309619,0.284322,0.50265,0.999963,no
XLOC_002623,XLOC_002623,CEP104,chr1:3728644-3802224,Control,Dengue,OK,6.61813,7.00373,0.0817,0.0457142,0.89925,0.999963,no
XLOC_002624,XLOC_002624,C1orf174,chr1:3805683-3816857,Control,Dengue,OK,8.23596,12.2311,0.570548,0.756273,0.0691,0.822599,no
XLOC_002631,XLOC_002631,NPHP4,chr1:5922664-6161431,Control,Dengue,OK,0.910652,0.947658,0.0574663,0.0142113,0.9613,0.999963,no
XLOC_002635,XLOC_002635,RPL22,chr1:6241328-6296042,Control,Dengue,OK,18.7609,13.2513,-0.501589,-0.429509,0.1927,0.999963,no
XLOC_002637,XLOC_002637,ICMT,chr1:6241328-6296042,Control,Dengue,OK,6.78458,7.55323,0.154834,0.110438,0.74515,0.999963,no
XLOC_002638,XLOC_002638,GPR153,chr1:6307326-6321035,Control,Dengue,OK,0.294052,0.506502,0.784497,0.579481,0.10875,0.950383,no
XLOC_002639,XLOC_002639,ACOT7,chr1:6324133-6455110,Control,Dengue,OK,3.8448,2.99786,-0.358977,-0.34224,0.3772,0.999963,no
XLOC_002643,XLOC_002643,"PLEKHG5,TNFRSF25",chr1:6484847-6580121,Control,Dengue,OK,6.68903,6.29929,-0.0866066,-0.0729174,0.83575,0.999963,no
XLOC_002644,XLOC_002644,NOL9,chr1:6581375-6614595,Control,Dengue,OK,4.9977,4.74188,-0.0758052,-0.046921,0.89535,0.999963,no
XLOC_002645,XLOC_002645,KLHL21,chr1:6640060-6684245,Control,Dengue,OK,2.72369,4.41144,0.695691,0.492991,0.1466,0.999963,no
XLOC_002646,XLOC_002646,DNAJC11,chr1:6684835-6761984,Control,Dengue,OK,5.78979,6.84731,0.242026,0.231819,0.5898,0.999963,no
XLOC_002648,XLOC_002648,RP11-312B8.2,chr1:6845383-7829766,Control,Dengue,OK,1.00029,2.09191,1.06441,0.130888,0.743,0.999963,no
XLOC_002656,XLOC_002656,UTS2,chr1:7844361-7973314,Control,Dengue,OK,1.64534,2.3856,0.535967,0.186643,0.73225,0.999963,no
XLOC_002657,XLOC_002657,TNFRSF9,chr1:7975953-8005008,Control,Dengue,OK,1.35363,2.28277,0.753948,0.545213,0.1258,0.999963,no
XLOC_002659,XLOC_002659,ERRFI1,chr1:8064463-8086368,Control,Dengue,OK,0.420484,0.5509,0.389739,0.253322,0.37285,0.999963,no
XLOC_002665,XLOC_002665,RERE,chr1:8412221-8877702,Control,Dengue,OK,18.7226,20.1106,0.10317,0.0445865,0.8988,0.999963,no
XLOC_002667,XLOC_002667,RPL7P7,chr1:8412221-8877702,Control,Dengue,OK,0.467749,0.346685,-0.432109,-0.0322908,0.82245,0.999963,no
XLOC_002670,XLOC_002670,ENO1,chr1:8921060-8939953,Control,Dengue,OK,239.964,258.443,0.107032,0.142804,0.7094,0.999963,no
XLOC_002671,XLOC_002671,ENO1-IT1,chr1:8921060-8939953,Control,Dengue,OK,1.17245,2.31951,0.984292,0.0431148,0.75975,0.999963,no
XLOC_002673,XLOC_002673,RP3-477M7.5,chr1:8965735-8987334,Control,Dengue,OK,0.373284,0.440798,0.239844,0.122927,0.7905,0.999963,no
XLOC_002674,XLOC_002674,CA6,chr1:9005925-9035151,Control,Dengue,OK,1.44277,1.28089,-0.171692,-0.0829793,0.85125,0.999963,no
XLOC_002677,XLOC_002677,SLC2A5,chr1:9095165-9153529,Control,Dengue,OK,1.31986,0.909133,-0.537823,-0.259436,0.36065,0.999963,no
XLOC_002678,XLOC_002678,GPR157,chr1:9160363-9189229,Control,Dengue,OK,0.299378,0.412122,0.461103,0.152355,0.4462,0.999963,no
XLOC_002679,XLOC_002679,"MIR34A,MIR34AHG",chr1:9208069-9257042,Control,Dengue,OK,0.106669,0.445059,2.06086,0.391006,0.00665,0.283995,no
